entry_id,installment_id,rank,text,gloss,last_month,amount,category
201,13,23,"Long, deep, refreshing, skull-fucking bong hits",,5,,cannabis
202,13,24,Halloween parties,,,,milestones
203,13,25,Beer,,9,,drugs
204,13,26,"Subversive, intellectual books",,,,media
205,13,27,Cannabis Sativa,,,,cannabis
206,13,28,Ezekiel 23,,,,religion
207,13,29,N.D.S.U.,,6,,sports
208,13,30,David Robert Jones,,,,music
209,13,31,Translucent Lethargy,Oklahoma's number one hardcore metal magazine,,,media
210,13,32,'Shrooms,,24,,drugs
211,13,33,Frank Zappa,,,,music
212,13,34,Stop Contra Aid,,10,,politics
213,13,35,Doin' shrooms with Mr. Bud Man,,,,experience
214,13,36,Tower Magazines,,,,media
215,13,37,After Midnight,progressive radio 93Q FM,,,media
216,13,38,Love,,18,,music
217,13,39,Hep Cat,,,,music
218,13,40,Trippin' with the Grateful Dead,,,,experience
219,13,41,Equidemius,an L.A. band,,,music
220,13,42,Losing your virginity,,,,sex
221,13,43,Rock'n'Roll,,,,music
222,13,44,Drugs,,,,drugs
223,13,45,Sex + Drugs,,,,drugs
224,13,46,Blow Jobs,,,,sex
225,13,47,Torchlighting,lighting farts,,,cannabis
226,13,48,Sweet Daddy,,,,music
227,13,49,I hate the Grateful Dead,,,,music
228,13,50,Isshinryu Karate,,,,sports
229,13,51,NORML,the force that's with us,26,,politics
230,13,52,Judas Priest,,,,music
231,13,53,Dump Reagan,and Nancy!!!,,,politics
232,13,54,Ganja Skater,skateboarding,,,cannabis
233,13,55,Peace,,,,politics
234,13,56,Deadheads,,,,music
235,13,57,AC/DC,,,,music
236,13,58,Heavy Metal,,,,music
237,13,59,Farking,,,,slang
238,13,60,Hendrix,,99,,music
239,13,61,The Bill of Rights,,,,politics
240,13,62,Motorcycles,,,,vehicles
241,13,63,Graduating!,,,,milestones
242,13,64,New York Hardcore,,,,music
243,13,65,Jesus,,11,,religion
244,13,66,We want to rock,,,,music
245,13,67,Nevada Bigfoot Ale,,,,drugs
246,13,68,Saying no isn't enough - nuke Nancy!,,,,politics
247,13,69,Dixie,stars + bars forever,,,politics
248,13,70,Politics,suck,,,politics
249,13,71,Hank Kimball,county extension agent on Green Acres,,,media
250,13,72,Metallica,,,,music
251,13,73,Feeding piranhas,,,,sports
252,13,74,"Smelly, stinky panties",,,,sex
253,13,75,Sink Bongs,,,,cannabis
254,13,76,Greenpeace,,,,politics
255,13,77,"Being a mammal, dude!",,,,slang
256,13,78,Front row seats and Thai joints,,,,cannabis
257,13,79,The Addams Family,Cousin Itt is so cute!,,,media
258,13,80,Reading in the bathroom,,,,experience
259,13,81,Frisbee dogs,,,,sports
260,13,82,Fugly,fucking ugly,,,slang
261,13,83,The Dickies,,,,music
262,13,84,Super psychedelic farking,,,,experience
263,13,85,Radar jammers,remote systems,,,politics
264,13,86,Mentors rule,thrash band out of Frisco,,,music
265,13,87,Peace sells but who's buying,,,,politics
266,13,88,Diving,"scuba, muff, sky, bridge",,,sex
267,13,89,It's good to be the king,,,,media
268,13,90,"I say, she say, up the butt!","The Newlywed Game, June 12 1987",,,media
269,13,91,My son + daughter,,,,people
270,13,92,Chevy trucks,"ain't no Toyota, boy!",,,vehicles
271,13,93,I don't know,but it's not French hash,,,cannabis
272,13,94,Vacation with an 8-ball,,,,experience
273,13,95,Ashes on my dog,we wrote the song,,,people
274,13,96,Howard Stern,,46,,media
275,13,97,Taking sinse,a friend's mother asked if he was taking sinse - Bob,,,cannabis
276,13,98,Capitalism,,,,politics
277,13,99,Ask Ed,"don't worry Ed, you got ONE vote!",,,people
278,13,100,I love Gayle Martin,,,,music
279,14,1,Lt. Col. Ollie North,,,,politics
280,14,2,Sticky green moist Sonoma buds,,13,,cannabis
281,14,3,Ron Reagan,,,,politics
282,14,4,Grateful Dead,,20,,music
283,14,5,High Times,,,,media
284,14,6,Angry Samoans,,22,,music
285,14,7,Beer,,25,,drugs
286,14,8,Pink Floyd,,1,,music
287,14,9,Bong Hits,,23,,cannabis
288,14,10,Sex,,3,,sex
289,14,11,Rasta + Dready,my ganja-guarding pit bulls,,,cannabis
290,14,12,Lighting Farts,,47,,cannabis
291,14,13,Sex Pistols,,,,music
292,14,14,Genesis,,,,music
293,14,15,STP,,,,drugs
294,14,16,Ezekiel 23,,,,religion
295,14,17,Roky Ericson,,,,music
296,14,18,Murphy's Law,N.Y. hardcore band,,,music
297,14,19,Indoor Growing,,10,,cannabis
298,14,20,Led Zep,,7,,music
299,14,21,David Letterman,,,,media
300,14,22,Alaskan Matanuska Thunderfuck,,,,cannabis
301,14,23,Iron Maiden,,,,music
302,14,24,Joining NORML,,51,,politics
303,14,25,Captain Beefheart,,,,music
304,14,26,Freedom,,19,,politics
305,14,27,Dan the Man,,,,music
306,14,28,Hanging Oliver North,,,,politics
307,14,29,Detroit Tigers,,,,sports
308,14,30,Dump Raygun,,53,,politics
309,14,31,Ten-pound bag of Oreo cookies,,,,food
310,14,32,Thai Sticks,,,,cannabis
311,14,33,Equidemius,R.I.P.,41,,music
312,14,34,Johnny Paycheck,,,,music
313,14,35,Cats,they like to get high too!,,,people
314,14,36,Harley Davidsons,,,,vehicles
315,14,37,Getting stoned on canoe float trips,,,,experience
316,14,38,Metallica,,,,music
317,14,39,Free improvisational music,esp. the Instant Composers School,,,music
318,14,40,Guitars,Fenders,,,music
319,14,41,Bugles,,,,food
320,14,42,13th Floor Elevators,,,,music
321,14,43,Romance,,,,sex
322,14,44,Priscilla Pancoast,please put this in! She reads this mag!,,,people
323,14,45,Border Collies,,,,politics
324,14,46,Bob Marley and all reggae,,,,music
325,14,47,Alice Cooper,,,,music
326,14,48,Rob's Place,New Orleans,,,people
327,14,49,Reefer,,,,cannabis
328,14,50,Peace,,53,,politics
329,14,51,Trojan water bombs,receptacle end,,,sex
330,14,52,Pirate Radio,,,,media
331,14,53,Partying in Chicago,from the Wilson Park partiers,,,milestones
332,14,54,Monkey Doodle,obscure cartoon,,,media
333,14,55,W.A.S.P.,,,,music
334,14,56,Let the shmee grow fuckin' free,,,,cannabis
335,14,57,Big dicks,,,,sex
336,14,58,Aleister Crowley,,,,politics
337,14,59,Growing your own happy smoke and getting 13 inch buds off of them,,,,cannabis
338,14,60,Sid + Nancy,R.I.P.,,,politics
339,14,61,Barf in my boots,,,,experience
340,14,62,L.S.D.,,2,,drugs
341,14,63,Cheech + Chong,,,,media
342,14,64,Whoever nailed Judge Maximum John Wood,,,,politics
343,14,65,Gubud,the killer green,,,slang
344,14,66,Ed Meese in prison,,,,politics
345,14,67,Any Tracy Lords flick,,,,sex
346,14,68,McBuzz Bros.,,,,media
347,14,69,Doing buds with El Kabong,the cartoon dude,,,cannabis
348,14,70,Turning 21!!!!!,,,,milestones
349,14,71,G.L.O.W.,,,,media
350,14,72,Kentucky Sinse,,,,cannabis
351,14,73,Robert Plant,no relation to eggplant,,,music
352,14,74,Motley Crue,,,,music
353,14,75,Wet Monkey Love,,,,sex
354,14,76,Being a NORML member and writing my state's representatives,,,,politics
355,14,77,God,,,,religion
356,14,78,My Phototron,"thanks, Jeff!",,,cannabis
357,14,79,No muff is too tuff,,,,sex
358,14,80,Surfin',,,,sports
359,14,81,Radio Kaos,,,,media
360,14,82,"Kurt Vonnegut, Jr.",,,,media
361,14,83,I love my bud,,,,cannabis
362,14,84,Cop with a flat tire,,,,politics
363,14,85,Mike + Jeanette,,,,people
364,14,86,The Dead Milkmen,,,,music
365,14,87,MTV,get off the air,,,media
366,14,88,Debbie Harry,,,,music
367,14,89,Convincing mom that I'm not stoned,,,,experience
368,14,90,Sex on the roof,,,,experience
369,14,91,Mr. Zog's Sex Wax,,,,sex
370,14,92,Bat Shit,,,,slang
371,14,93,Teachers that smoke dope,,,,cannabis
372,14,94,Hiding the salami,,,,sex
373,14,95,This Bud's for you,,,,cannabis
374,14,96,Bad Brains,N.Y. hardcore band,,,music
375,14,97,Brady Bunch reruns,,,,media
376,14,98,Fat + ugly girls,but not telling anyone,,,sex
377,14,99,Watchin' pro wrasslin' all day Saturday,,,,media
378,14,100,Horizontal rain,or maybe it was the two hits of blotter acid I took,,,experience
379,15,1,Bong Hits,,1,,cannabis
380,15,2,Pink Floyd,,4,,music
381,15,3,Indica buds dripping with resin,,7,,cannabis
382,15,4,Grateful Dead,,2,,music
383,15,5,Led Zeppelin,,3,,music
384,15,6,Peace,,19,,politics
385,15,7,L.S.D.,,8,,drugs
386,15,8,Peter Tosh,,,,music
387,15,9,Angry Samoans,,,,music
388,15,10,Love,,,,music
389,15,11,Long live Randy Rhoads 1956-1982,,,,music
390,15,12,Crankin' out Halen at Bikes,in DC,,,music
391,15,13,T. Rex,,,,music
392,15,14,Graduating from Monty Tech,,,,milestones
393,15,15,Sex,,5,,sex
394,15,16,NORML,,6,,politics
395,15,17,Howard Stern,,,,media
396,15,18,Atlantis,,,,media
397,15,19,High Times,,,,media
398,15,20,Beer,esp. Bud + Bud Lite,,,cannabis
399,15,21,Hendrix,,12,,music
400,15,22,Frank + Debby,,,,people
401,15,23,Tie Dyes,,,,objects
402,15,24,Nancy Reagan is a coke slut,,,,politics
403,15,25,Crystal Prisms,,,,objects
404,15,26,Husbands who also do drugs,,,,sex
405,15,27,John + Yoko,,,,music
406,15,28,Marijuana,,,,cannabis
407,15,29,Peter Tork's Dork,,,,music
408,15,30,Bubba Skynard,,,,music
409,15,31,Frop,,,,slang
410,15,32,Magick,,,,religion
411,15,33,Opie on Coke,,,,drugs
412,15,34,Joni Mitchell,,,,music
413,15,35,President Ron Reagan,,,,politics
414,15,36,Grow Rooms,,46,,cannabis
415,15,37,STP,not LSD,,,drugs
416,15,38,Coco Puffs,,,,food
417,15,39,Freedom,,16,,politics
418,15,40,"Hank Williams, Jr.",any old Hank will do,,,music
419,15,41,Dooner Bowl,do another bowl,,,slang
420,15,42,Friends,,,,people
421,15,43,Ten Years After,Alvin Lee jams!,,,music
422,15,44,Fat Freddie's Cat,,,,media
423,15,45,K.G.B.,killer green bud,,,cannabis
424,15,46,F.B.I.,fuckin' bad indica,,,politics
425,15,47,Ben + Jerry's Cherry Garcia,,54,,politics
426,15,48,Skunk weed,flowered with bat guano,,,cannabis
427,15,49,Bob Goldthwait,reality is such a drag,,,media
428,15,50,Sex with married women,,,,sex
429,15,51,Frank Zappa,,,,music
430,15,52,East Illinois University,,,,sports
431,15,53,Geraldo Rivera halide bulb stunt,,,,cannabis
432,15,54,Acid Farts,,,,drugs
433,15,55,I hate the Grateful Dead,,51,,music
434,15,56,WFMU,and Bill Kelly,,,media
435,15,57,Bob Marley,,,,music
436,15,58,Blow jobs during bondage,,,,sex
437,15,59,No Bugs,,,,cannabis
438,15,60,We're the Meatmen and you suck!,,,,music
439,15,61,Vitamin C,,,,drugs
440,15,62,Bullfrogs for breakfast,,,,food
441,15,63,Stevie Ray V.,blues power to the max,,,music
442,15,64,Beethoven's Ninth,,,,music
443,15,65,The Three Stooges,,,,music
444,15,66,I'm the Man - Anthrax,,,,music
445,15,67,Calm Down!,,,,experience
446,15,68,The Jetsons,,,,media
447,15,69,"ECU students doing $7,500 damage to N.C. State property",,,,sports
448,15,70,Happiness is being insane,,,,experience
449,15,71,Groovyness,,,,slang
450,15,72,Scuba diving with nitrous tanks,,,,experience
451,15,73,Nuke the Beastie Boys and Run DMC,,,,music
452,15,74,Cranken,,,,slang
453,15,75,Arguing with my dad over whether The Far Side is funny,,,,experience
454,15,76,Wonkey + Bonkey,,,,slang
455,15,77,My favorite thing is death - publish this you sorry twits,,,,politics
456,15,78,Juan Bonguloid,,,,slang
457,15,79,Fishing naked,,,,experience
458,15,80,Getting Ann to quit drinking + start smoking,,,,experience
459,15,81,Chocolate hydroponics,,,,cannabis
460,15,82,My band,,,,music
461,15,83,Killing Bon Jovi,,,,music
462,15,84,Sex with bisexual blondes,,,,sex
463,15,85,Let's Work,,,,music
464,15,86,Spuds MacKenzie,,,,media
465,15,87,Listening to the Stooges dosed,,,,experience
466,15,88,Gravity Bongs,,,,cannabis
467,15,89,Bodacious Ta-Tas,,,,sex
468,15,90,Crown Royal,,,,drugs
469,15,91,One Anarchettes,Seattle's gogo girl gang,,,music
470,15,92,Stryper,,,,music
471,15,93,Sid Vicious Nite at Eckerd College,,,,music
472,15,94,Unliberated women,,,,politics
473,15,95,Slick Thai Slater,,,,people
474,15,96,Damon + Erin TA,true love always,,,music
475,15,97,WCHIL Radio,it's chillin',,,media
476,15,98,Making men out of little boys,,,,sex
477,15,99,CO2 + negative ion generators,,,,cannabis
478,15,100,Spam Heads of the World,,,,food
